FOM,SNR,Bw,Power,OSR,C,Adc11,Adc12,R11,R12,GBW1,GBW2,Cp1,Cp2,IIP3,gm
129.224386042061,68.4662346593456,100000,0.0839817387,311.41077,1.8697748e-09,2493.8958,1758.4343,-1359683.5,-1117340,167909140,410220480,2.8540487e-10,4.068829e-10,10.069229,0.009489462
129.045659275546,68.3125330826576,100000,0.0844670604905751,305.694171327448,1.81696549933634e-09,2431.80823054029,1827.52712346934,-1387315.4265246,-1123567.82329181,162610492.854023,398407395.399841,2.73342142071431e-10,4.23719731115918e-10,10.2773752864775,0.00954430062040397
130.056749273483,69.2559078045463,100000,0.0831602628006279,305.600747809648,1.80736238335847e-09,2524.44534004296,1844.23441741019,-1314872.68596221,-1090277.15932541,166176306.234428,392744872.989334,2.9065906140588e-10,4.02911248173358e-10,10.5554068212097,0.00939663986447773
127.224834974594,66.5088179918113,100000,0.0848004782819656,315.168624399482,1.8051497372166e-09,2464.30453037142,1698.84693529951,-1394778.62140208,-1158805.73009609,165403545.156579,417831534.749955,2.79529771758119e-10,4.08129153997827e-10,10.4039537201461,0.00958197494711476
125.441892809455,64.5916505295133,100000,0.0822196780760799,306.282187468465,1.83223440081577e-09,2482.07287385311,1744.83204633688,-1340594.40270426,-1123856.2374782,171981698.3766,407116537.861963,2.83388649802234e-10,3.91619614019892e-10,9.59037072030009,0.0092903591046418
127.619749298079,66.9397413480318,100000,0.0855065147630018,305.72816442115,1.89851139394991e-09,2607.8508581909,1835.05471122739,-1353957.37430173,-1088342.61319164,172340227.687291,420858620.358518,2.92273082970097e-10,4.16798161908055e-10,9.67242124318576,0.00966175308056517
148.543867016699,87.97831503423,100000,0.0877899500154855,310.266664849052,1.81595580146729e-09,2393.77055661417,1815.33274535592,-1315495.11022577,-1079749.32029992,170696217.075858,426399139.886472,2.85877449330193e-10,4.1513051024887e-10,9.7204212174377,0.00991976836333169
124.456717552445,63.5576507273157,100000,0.0813005189004942,312.683944322015,1.90338099135797e-09,2378.31944571464,1812.80576578071,-1393487.79777427,-1074901.97626777,168329671.207645,403075818.75914,2.86730559635711e-10,4.02768530728386e-10,9.98373458661923,0.0091864993107903
124.272403546975,63.6223154307312,100000,0.0860976283216183,303.793249650317,1.78012578739544e-09,2599.55608308765,1785.46141567383,-1418505.25357905,-1079742.89098505,174979747.809322,422307949.917996,2.87613738064982e-10,4.04443050930616e-10,9.82516472085032,0.00972854557306422
128.735955819335,68.1015671390886,100000,0.0864094283396694,302.961245449798,1.78828759984908e-09,2560.56499441418,1788.53907949659,-1388945.59053478,-1133213.02460423,166549886.860102,405739316.89276,2.94427662496292e-10,3.9945435197051e-10,10.3859463002945,0.00976377721352197
